idville|cddep|lbville|cdpost|cdpays
|1  |Vaulx-Vraucourt1|62|
|2  |Vaulx-Vraucourt2|62|
|3  |Vaulx-Vraucourt3|62|
|4  |Vaulx-Vraucourt4|62|
|62 |Vaulx-Vraucourt1|62159|FRA
|62 |Vaulx-Vraucourt1|62159|FRA
|62 |Vaulx-Vraucourt1|62159|FRA
|62 |Vaulx-Vraucourt2|62159|FRA
|62 |Vaulx-Vraucourt2|62159|FRA
|62 |Vaulx-Vraucourt2|62159|FRA
|62 |Vaulx-Vraucourt3|62159|FRA
|62 |Vaulx-Vraucourt3|62159|FRA
|62 |Vaulx-Vraucourt3|62159|FRA
|62 |Vaulx-Vraucourt4|62159|FRA
|62 |Vaulx-Vraucourt4|62159|FRA
|62 |Vaulx-Vraucourt4|62159|FRA
